[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-02
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-01
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-30
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-29
[2016-02-20 16:10:16.032] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-26
[2016-02-20 16:10:16.032] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-25
[2016-02-20 16:10:16.032] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-24
[2016-02-20 16:10:16.033] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-23
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-22
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-19
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-18
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-17
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-16
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-15
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-12
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-11
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-10
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-09
[2016-02-20 16:10:16.034] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-08
[2016-02-20 16:10:16.035] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-05
[2016-02-20 16:10:16.038] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-04
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-03
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-09-02
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-29
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-28
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-27
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-26
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-25
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-22
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-21
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-20
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-19
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-18
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-15
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-14
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-13
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-12
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-11
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-08
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-07
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-06
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-05
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-04
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-08-01
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-31
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-30
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-29
[2016-02-20 16:10:16.039] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-28
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-25
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-24
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-23
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-22
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-21
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-18
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-17
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-16
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-15
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-14
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-11
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-10
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-09
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-08
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-07
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-03
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-02
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-07-01
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-30
[2016-02-20 16:10:16.040] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-27
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-26
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-25
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-24
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-23
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-20
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-19
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-18
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-17
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-16
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-13
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-12
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-11
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-10
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-09
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-06
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-05
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-04
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-03
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-06-02
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-30
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-29
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-28
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-27
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-23
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-22
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-21
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-20
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-19
[2016-02-20 16:10:16.041] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-16
[2016-02-20 16:10:16.042] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-15
[2016-02-20 16:10:16.042] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-05-14
